[description:"Train typing" due:"1623790800" end:"1623838693" entry:"1623738421" imask:"17" modified:"1623838693" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"b80b5c24-714b-4e54-9be8-80013d9c02e7"]
[description:"Distr lecture" due:"1623704400" end:"1623680206" entry:"1623619316" imask:"8" modified:"1623680206" parent:"487d6b9a-3326-492a-878a-0b09af824fab" recur:"daily" status:"completed" until:"1623853725" uuid:"8f2cc4a1-54e0-45f5-8c43-f846b28c28fe"]
[description:"Pebble meditation" due:"1623531600" end:"1623679725" entry:"1623446273" imask:"14" modified:"1623679728" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"3af467ed-336e-428e-b33e-014d155f98c0"]
[description:"Pebble meditation" due:"1623618000" end:"1623679728" entry:"1623532059" imask:"15" modified:"1623679728" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"87fa2520-898c-47db-b464-288e0ee93240"]
[description:"Pebble meditation" due:"1623704400" end:"1623679728" entry:"1623619316" imask:"16" modified:"1623679728" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"8b5e163e-ad2a-4f29-9696-7268d9e5477a"]
[description:"Call granny" end:"1623663829" entry:"1623662353" modified:"1623663829" status:"completed" tags:"next" uuid:"4d233213-2012-4553-a18e-528485324c3b"]
[description:"Distr lecture" due:"1623618000" end:"1623660258" entry:"1623532059" imask:"7" modified:"1623660258" parent:"487d6b9a-3326-492a-878a-0b09af824fab" recur:"daily" status:"completed" until:"1623853725" uuid:"0a197d82-3705-4aaf-9b1d-709034cb3cdc"]
[description:"Train autotickets" due:"1623618000" end:"1623654007" entry:"1623532059" imask:"9" modified:"1623654007" parent:"33a7700e-1849-4f04-ac3e-34d7be51102f" project:"daily" recur:"daily" status:"completed" uuid:"6aaa0e0a-974b-481b-8b7b-fa7f1ad2a481"]
[description:"Train autotickets" due:"1623704400" end:"1623654007" entry:"1623619316" imask:"10" modified:"1623654007" parent:"33a7700e-1849-4f04-ac3e-34d7be51102f" project:"daily" recur:"daily" status:"completed" uuid:"a1d6d51c-cfb0-4f35-beff-d529fdebc834"]
[description:"Train typing" due:"1623618000" end:"1623653445" entry:"1623532059" imask:"15" modified:"1623653445" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"173e2dc8-192c-4a16-bd57-5133060cbf6d"]
[description:"Train typing" due:"1623704400" end:"1623653445" entry:"1623619316" imask:"16" modified:"1623653445" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"43e503b5-c6ab-4caa-9b34-458eb6d8f68b"]
[description:"Train autotickets" due:"1623531600" end:"1623568422" entry:"1623446273" imask:"8" modified:"1623568422" parent:"33a7700e-1849-4f04-ac3e-34d7be51102f" project:"daily" recur:"daily" status:"completed" uuid:"4dc3e8de-2153-4b24-9142-8719c8adcfba"]
[description:"Handle YaConnect" end:"1623525240" entry:"1623349176" modified:"1623525242" project:"mdinc" status:"deleted" uuid:"7f629c7a-3595-4f7b-9225-203d4aceff42"]
[description:"Handle Amazon" end:"1623525242" entry:"1623349183" modified:"1623525242" project:"mdinc" status:"deleted" uuid:"eeb30f8d-c779-4174-b283-f484f93a58f1"]
[description:"Handle Jira" end:"1623525242" entry:"1623349195" modified:"1623525242" project:"mdinc" status:"deleted" uuid:"445b454d-7c1c-4568-a407-c3a58aa9286d"]
[description:"Handle AdminJango" end:"1623525242" entry:"1623349200" modified:"1623525242" project:"mdinc" status:"deleted" uuid:"11d3eb92-1e81-45eb-845d-7b0715411424"]
[description:"Handle Dania's card" end:"1623525242" entry:"1623349350" modified:"1623525242" project:"mdinc" status:"deleted" uuid:"35d1aeff-bf2f-4134-8fca-45f7c85e2875"]
[description:"Give access to Dima" end:"1623525242" entry:"1623415977" modified:"1623525242" project:"mdinc" status:"deleted" uuid:"d15a70d4-e16c-4786-b178-1e7c4fab78b1"]
[description:"Pebble meditation" due:"1623445200" end:"1623525134" entry:"1623358838" imask:"13" modified:"1623525134" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"00110cc3-3e51-43ba-85f9-16b9dcbd48fe"]
[description:"Train typing" due:"1623531600" end:"1623520858" entry:"1623446273" imask:"14" modified:"1623520858" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"68a601e7-5cf9-41ea-9ac9-fbcff3cf778c"]
